pose_id,feature_id,x,y,z,sigma_x,sigma_y,sigma_z
2,242,-2.6809,-0.4650,-1.0929,0.0030,0.0030,0.0030
2,243,-2.4648,0.2137,2.8552,0.0030,0.0030,0.0030
2,245,-4.6168,-1.9807,0.2309,0.0030,0.0030,0.0030
2,247,-2.5265,-0.7318,2.2286,0.0030,0.0030,0.0030
2,248,-2.1774,0.0369,2.9413,0.0030,0.0030,0.0030
2,251,-1.2787,-3.7175,1.9508,0.0030,0.0030,0.0030
2,252,1.6918,2.0437,-0.7683,0.0030,0.0030,0.0030
2,253,1.0740,3.5165,2.3768,0.0030,0.0030,0.0030
2,257,-2.1022,-1.8290,2.0828,0.0030,0.0030,0.0030
2,261,0.6460,-0.4746,2.8664,0.0030,0.0030,0.0030
2,262,2.6923,0.8263,0.2009,0.0030,0.0030,0.0030
2,263,-3.9072,2.3771,0.9076,0.0030,0.0030,0.0030
2,267,-1.6083,-1.8569,1.9360,0.0030,0.0030,0.0030
2,273,1.4213,2.9501,2.5215,0.0030,0.0030,0.0030
2,276,-0.2489,-0.8738,-0.7806,0.0030,0.0030,0.0030
2,277,2.7740,-0.7862,0.0859,0.0030,0.0030,0.0030
